id,i,we,you,shehe,they,ipron,PastM,PresentM,FutureM,ProgM,family,friend,humans,posemo,negemo,insight,cause,discrep,tentat,certain,inhib,incl,excl,see,hear,feel,body,health,sexual,ingest,label
243586,0,0,0.007712082,0,0,0.002570694,0,0.015424165,0,0.005141388,0.002570694,0,0.005141388,0.046272494,0.053984576,0.033419023,0.041131105,0.046272494,0.017994859,0.010282776,0.023136247,0.030848329,0.005141388,0.007712082,0,0.015424165,0.025706941,0.046272494,0.005141388,0.043701799,0
206883,0.008032129,0,0,0,0,0.004016064,0,0.008032129,0.032128514,0.008032129,0.004016064,0,0.012048193,0.020080321,0.024096386,0.024096386,0.052208835,0.024096386,0.016064257,0.004016064,0.012048193,0.02811245,0.024096386,0.068273092,0.004016064,0.004016064,0.032128514,0.072289157,0,0,0
28191,0.013888889,0,0.048611111,0,0.006944444,0.048611111,0,0.006944444,0.013888889,0.020833333,0,0,0.034722222,0.048611111,0,0.048611111,0.013888889,0.055555556,0.048611111,0.013888889,0,0.013888889,0.034722222,0.034722222,0.006944444,0.013888889,0.006944444,0.020833333,0,0.013888889,0
25845309,0.001443001,0.000721501,0.000721501,0.009379509,0,0.015151515,0.006493506,0.013708514,0.006493506,0.015151515,0,0,0.005772006,0.02958153,0.018759019,0.03030303,0.017316017,0.02020202,0.035353535,0.011544012,0.015873016,0.045454545,0.022366522,0.004329004,0.003607504,0.002886003,0.004329004,0.005772006,0.002164502,0.002164502,1
26013898,0,0,0,0,0,0.012658228,0.025316456,0,0,0.025316456,0.037974684,0,0.037974684,0.025316456,0.063291139,0.037974684,0,0.025316456,0,0.037974684,0.012658228,0.037974684,0.037974684,0,0.037974684,0.025316456,0.025316456,0,0,0,1
24777384,0.002832861,0.004856333,0.000404694,0.00364225,0.002428167,0.021448806,0.000404694,0.012545528,0.006879806,0.015783084,0.000404694,0.000809389,0.011331445,0.021448806,0.008093889,0.034803723,0.022258195,0.011736139,0.014569,0.010117361,0.009712667,0.052205585,0.01092675,0.010117361,0.003237556,0.002428167,0.006070417,0.002428167,0.004856333,0.001214083,1
23127308,0.001683502,0,0,0,0,0.003367003,0.003367003,0.033670034,0.01010101,0.021885522,0,0,0.005050505,0.013468013,0.001683502,0.018518519,0.011784512,0.003367003,0.006734007,0.005050505,0.008417508,0.042087542,0.003367003,0.011784512,0,0.005050505,0.005050505,0.003367003,0,0.013468013,1
347286,0,0,0.064,0,0,0.056,0,0,0.016,0.008,0,0,0.024,0.048,0,0.032,0.024,0.032,0.056,0.032,0,0.032,0.024,0.008,0,0,0.008,0.032,0,0,0
41882,0,0.00135318,0.01488498,0,0,0.02165088,0.00405954,0.01082544,0.0067659,0.00270636,0,0,0.00811908,0.032476319,0.040595399,0.029769959,0.031123139,0.039242219,0.035182679,0.01082544,0.00811908,0.032476319,0.033829499,0.01488498,0.00270636,0.01488498,0.046008119,0.054127199,0.00135318,0.01623816,0
58675,0,0,0.011049724,0,0.005524862,0,0,0,0,0,0,0,0,0.005524862,0,0.005524862,0,0.005524862,0,0,0,0,0,0,0,0.005524862,0,0,0,0,0
26035314,0.008244423,0.001454898,0.00242483,0.01842871,0.002909796,0.020368574,0.005819593,0.015518914,0.006789525,0.016488846,0.00242483,0,0.011154219,0.012124151,0.007274491,0.020368574,0.012124151,0.030067895,0.021823472,0.011639185,0.014064016,0.035887488,0.016973812,0.006304559,0.006304559,0.003879728,0.051891368,0.016488846,0.00242483,0.003394762,1
165414,0.002063983,0.004127967,0.005159959,0.001031992,0.001031992,0.012383901,0.001031992,0.010319917,0.021671827,0.007223942,0.001031992,0.001031992,0.00619195,0.025799794,0.027863777,0.024767802,0.021671827,0.01754386,0.018575851,0.012383901,0.01754386,0.031991744,0.012383901,0.046439628,0.001031992,0.013415893,0.029927761,0.031991744,0.001031992,0.004127967,0
191224,0.005172414,0.001724138,0.001724138,0.005172414,0,0.029310345,0.001724138,0.024137931,0.017241379,0.032758621,0,0,0.010344828,0.006896552,0.012068966,0.04137931,0.010344828,0.034482759,0.012068966,0.012068966,0.005172414,0.039655172,0.025862069,0.012068966,0.001724138,0.00862069,0.012068966,0.046551724,0.001724138,0.031034483,0
169442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226457,0,0,0.055555556,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0.111111111,0.111111111,0.055555556,0.055555556,0.055555556,0,0.111111111,0.055555556,0.055555556,0,0,0,0,0,0.055555556,0
47664,0.002808989,0.002808989,0,0.002808989,0,0.025280899,0,0.008426966,0.005617978,0.016853933,0.005617978,0,0.019662921,0.011235955,0.028089888,0.028089888,0.02247191,0.030898876,0.016853933,0.005617978,0.008426966,0.042134831,0.030898876,0.005617978,0.002808989,0.008426966,0.002808989,0.036516854,0.002808989,0.019662921,0
25911,0.003683241,0.005524862,0.003683241,0.003683241,0,0.031307551,0.001841621,0.014732965,0.011049724,0.007366483,0.009208103,0,0.018416206,0.003683241,0.005524862,0.038674033,0.02946593,0.042357274,0.033149171,0.011049724,0.001841621,0.060773481,0.044198895,0.001841621,0.001841621,0.001841621,0.027624309,0.038674033,0.003683241,0.075506446,0
11055,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0.083333333,0,0,0.083333333,0.083333333,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0
24424664,0.001848429,0,0.007393715,0,0.001848429,0.027726433,0.001848429,0.011090573,0.014787431,0.001848429,0,0,0.005545287,0.011090573,0.005545287,0.012939002,0.01663586,0.033271719,0.018484288,0.01663586,0.009242144,0.04805915,0.022181146,0.007393715,0.003696858,0.001848429,0.001848429,0,0,0,1
26433079,0.002539683,0.000634921,0.001269841,0.005079365,0.000634921,0.022222222,0.002539683,0.00952381,0.012063492,0.021587302,0.001269841,0,0.008888889,0.013333333,0.019047619,0.044444444,0.013968254,0.022222222,0.007619048,0.00952381,0.005714286,0.045079365,0.027301587,0.014603175,0.010793651,0.001904762,0.017777778,0.015238095,0.001269841,0.031111111,1
23304196,0,0,0.004716981,0.009433962,0,0.028301887,0.009433962,0.009433962,0.004716981,0,0.014150943,0,0.047169811,0.014150943,0.014150943,0.023584906,0.014150943,0.004716981,0.009433962,0,0.018867925,0.033018868,0.014150943,0.018867925,0.004716981,0.004716981,0.009433962,0,0.009433962,0.004716981,1
