index,id,功能词,代名詞,特定人稱代名詞,第一人稱單數代名詞,第一人稱複數代名詞,第二人稱代名詞,第三人稱單數代名詞,第三人稱複數代名詞,非特定人稱代名詞,動詞,助動詞,副詞,介係詞,連接詞,否定詞,概數詞,數字,髒話,第二人稱複數代名詞,後置詞,特指定詞,量詞,語助詞,多用途詞,時態標定詞,過去時態標定詞,現在時態標定詞,未來時態標定詞,延續時態標定詞,社會歷程詞,家族詞,朋友詞,人類詞,情感歷程詞,正向情緒詞,負向情緒詞,焦慮詞,生氣詞,悲傷詞,認知歷程詞,洞察詞,因果詞,差距詞,暫訂詞,確切詞,限制詞,包含詞,排除詞,感知歷程詞,視覺詞,聽覺詞,感覺詞,生理歷程詞,身體詞,健康詞,性詞,攝食詞,相對詞,移動詞,空間詞,時間詞,工作詞,成就詞,休閒詞,家庭詞,金錢詞,宗教詞,死亡詞,應和詞,停頓贅詞,填充贅詞,label
2832,34065,0.354642314,0.0304414,0.00913242,0,0.00304414,0.00608828,0,0,0.02283105,0.146118721,0.03805175,0.053272451,0.056316591,0.04109589,0.01369863,0.02283105,0.00608828,0,0,0.02130898,0.00456621,0.03196347,0.065449011,0.077625571,0.01978691,0.00608828,0.00152207,0.00456621,0.00761035,0.02435312,0,0,0.00608828,0.051750381,0.01065449,0.0304414,0.01217656,0.00456621,0.00456621,0.181126332,0.01674277,0.04109589,0.03805175,0.01674277,0.00913242,0.02435312,0.03196347,0.01674277,0.02283105,0.00152207,0.00304414,0.0152207,0.04870624,0.01217656,0.0152207,0,0.02435312,0.106544901,0.00456621,0.066971081,0.03805175,0.01826484,0.02283105,0.01065449,0.00456621,0.01674277,0,0.00304414,0.0304414,0.00152207,0.00304414,0
869,222652,0.444444444,0,0,0,0,0,0,0,0,0.111111111,0,0.166666667,0.055555556,0,0,0.111111111,0,0,0,0,0.055555556,0.111111111,0,0,0.055555556,0,0,0.055555556,0,0,0,0,0,0.166666667,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0.055555556,0,0,0,0,0,0.166666667,0,0.166666667,0,0.055555556,0,0.055555556,0,0.055555556,0,0,0.055555556,0,0,0
3666,16416,0.285714286,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0.142857143,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0
4086,161154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2649,57885,0.365010799,0.026457883,0.008639309,0.003239741,0.000539957,0.004859611,0,0,0.017818575,0.140928726,0.035097192,0.063174946,0.060475162,0.042656587,0.010259179,0.019438445,0.015658747,0.001079914,0,0.027537797,0.015658747,0.019978402,0.078293737,0.075593952,0.039416847,0.002699784,0.011339093,0.008099352,0.017278618,0.019438445,0,0,0.002699784,0.055615551,0.022678186,0.019978402,0.008639309,0.004859611,0.003779698,0.186285097,0.037257019,0.029157667,0.037257019,0.021598272,0.012958963,0.008639309,0.035637149,0.025917927,0.056695464,0.006479482,0.003239741,0.024298056,0.10637149,0.071814255,0.018358531,0.000539957,0.021058315,0.097192225,0.025917927,0.045896328,0.024838013,0.01187905,0.018358531,0.010799136,0.00161987,0.003779698,0,0,0.051835853,0.004319654,0.005939525,0
3319,127268,0.324817518,0.027372263,0.010948905,0.001824818,0,0.009124088,0,0,0.016423358,0.087591241,0.027372263,0.040145985,0.040145985,0.031021898,0.00729927,0.02919708,0.040145985,0.001824818,0,0.02919708,0.009124088,0.051094891,0.018248175,0.034671533,0.027372263,0,0.010948905,0.012773723,0.003649635,0.031021898,0.003649635,0,0.00729927,0.025547445,0.016423358,0.00729927,0.001824818,0.001824818,0,0.142335766,0.016423358,0.005474453,0.02919708,0.02189781,0.018248175,0.009124088,0.051094891,0.016423358,0.020072993,0.003649635,0.003649635,0.003649635,0.100364964,0.00729927,0.054744526,0.003649635,0.03649635,0.114963504,0.023722628,0.058394161,0.045620438,0.012773723,0.00729927,0.034671533,0.00729927,0.003649635,0.001824818,0,0.03649635,0,0.003649635,0
912,26442,0.44228275,0.054474708,0.033722438,0.009079118,0.012970169,0.009079118,0,0.002594034,0.02075227,0.149156939,0.022049287,0.054474708,0.072632944,0.047989624,0.009079118,0.025940337,0.018158236,0.001297017,0,0.044098573,0.010376135,0.047989624,0.073929961,0.089494163,0.019455253,0,0.010376135,0,0.009079118,0.047989624,0,0,0.015564202,0.047989624,0.009079118,0.027237354,0.003891051,0,0.001297017,0.193255512,0.022049287,0.019455253,0.025940337,0.016861219,0.007782101,0.011673152,0.071335927,0.027237354,0.02075227,0.009079118,0.002594034,0.007782101,0.116731518,0.040207523,0.060959792,0.002594034,0.019455253,0.15304799,0.02464332,0.099870298,0.027237354,0.006485084,0.014267185,0.014267185,0.003891051,0,0.001297017,0.014267185,0.036316472,0.002594034,0.012970169,0
3100,13229,0.336633663,0.03960396,0.02970297,0,0.00990099,0.01980198,0,0,0.00990099,0.099009901,0.00990099,0.079207921,0.01980198,0.04950495,0.00990099,0.03960396,0.00990099,0,0,0,0,0.00990099,0.079207921,0.089108911,0.03960396,0,0.00990099,0.00990099,0.01980198,0.069306931,0,0.00990099,0.00990099,0.059405941,0.02970297,0.02970297,0.01980198,0,0,0.178217822,0.04950495,0.02970297,0.00990099,0.00990099,0.00990099,0.00990099,0.04950495,0.01980198,0.00990099,0,0,0,0,0,0,0,0,0.059405941,0,0.00990099,0.01980198,0.03960396,0.04950495,0,0.04950495,0.00990099,0,0,0.069306931,0,0,0
1020,26714672,0.501883239,0.06826742,0.044256121,0.027306968,0.00094162,0.006120527,0.009416196,0.00047081,0.024011299,0.154896422,0.027306968,0.09086629,0.070150659,0.058851224,0.005178908,0.025423729,0.015536723,0.00047081,0,0.024482109,0.010828625,0.036252354,0.106403013,0.120527307,0.04519774,0.007532957,0.009887006,0.009416196,0.017419962,0.054613936,0.001883239,0.001412429,0.012711864,0.042372881,0.021186441,0.010357815,0.001412429,0.001412429,0.00047081,0.213276836,0.053672316,0.020715631,0.031073446,0.032485876,0.013653484,0.006120527,0.042372881,0.026365348,0.028719397,0.005649718,0.007532957,0.007532957,0.016949153,0.006120527,0.005178908,0.002354049,0.002824859,0.120998117,0.034369115,0.042372881,0.04566855,0.044256121,0.032015066,0.012241055,0.002354049,0.003295669,0.00047081,0,0.050847458,0.005649718,0.008945386,1
619,334806,0.46179966,0.042444822,0.013582343,0.005093379,0.001697793,0.001697793,0.005093379,0,0.028862479,0.113752122,0.030560272,0.073005093,0.069609508,0.057724958,0.01188455,0.013582343,0.054329372,0,0,0.037351443,0.027164686,0.042444822,0.064516129,0.062818336,0.074702886,0.001697793,0.0237691,0.016977929,0.032258065,0.030560272,0,0,0.010186757,0.027164686,0.008488964,0.01188455,0,0.005093379,0.005093379,0.15959253,0.040747029,0.010186757,0.033955857,0.01188455,0.01188455,0.005093379,0.040747029,0.025466893,0.032258065,0.01188455,0.001697793,0.010186757,0.089983022,0.01188455,0.045840407,0.001697793,0.030560272,0.115449915,0.0237691,0.045840407,0.045840407,0.006791171,0.010186757,0.006791171,0.005093379,0.003395586,0,0.01188455,0.05942275,0.003395586,0.01188455,0
