id,pronoun,TenseM,social,affect,cogmech,percept,bio,label
65729,0.057471264,0.045977011,0.109195402,0.086206897,0.17816092,0.022988506,0.057471264,0
528700,0.048439182,0.020452099,0.081808396,0.037674919,0.172228202,0.030139935,0.071044133,0
6555,0.166666667,0,0.166666667,0,0.166666667,0.166666667,0,0
267246,0,0,0,0.052631579,0.315789474,0.105263158,0,0
25307203,0.021156559,0.052656323,0.037141514,0.033850494,0.168782323,0.01880583,0.026798307,1
25608,0.041520979,0.036276224,0.042395105,0.055944056,0.208916084,0.013548951,0.109265734,0
290287,0.025477707,0.049135578,0.023657871,0.045495905,0.215650591,0.020928116,0.1055505,0
204648,0.025737265,0.035924933,0.018766756,0.055764075,0.187131367,0.057908847,0.109383378,0
169442,0,0,0,0,0.142857143,0,0,0
236721,0.036750484,0.02417795,0.020309478,0.057059961,0.175048356,0.02901354,0.119922631,0
24755691,0.084033613,0.026260504,0.082983193,0.046218487,0.191176471,0.024159664,0.009453782,1
246235,0.008333333,0.016666667,0.026666667,0.048333333,0.175,0.046666667,0.085,0
24571573,0.040620384,0.037666174,0.061299852,0.067946824,0.175036928,0.018463811,0.006646972,1
25870,0.025065963,0.030343008,0.027704485,0.036939314,0.200527704,0.013192612,0.062005277,0
28143,0.038402458,0.066052227,0.023041475,0.036866359,0.178187404,0.006144393,0.107526882,0
42074,0.034321373,0.042121685,0.054602184,0.053042122,0.212168487,0.034321373,0.068642746,0
56411,0,0,0,0.125,0,0.25,0,0
319565,0.020325203,0.028455285,0.025745257,0.054200542,0.127371274,0.039295393,0.10704607,0
188632,0.041029767,0.023330652,0.034593725,0.05229284,0.182622687,0.026548673,0.101367659,0
24799809,0.038427691,0.046641244,0.047227926,0.022293928,0.134936932,0.028747433,0.023173951,1
146577,0.042318307,0.023919043,0.026678933,0.057037718,0.180312787,0.029438822,0.114075437,0
58504,0.083333333,0,0.083333333,0,0.25,0,0,0
81038,0.02962009,0.030264005,0.041854475,0.04507405,0.169349646,0.036703155,0.150032196,0
35661,0.035812672,0.024793388,0.033057851,0.046831956,0.173553719,0.013774105,0.027548209,0
34529,0.033840948,0.028764805,0.042301184,0.037225042,0.175972927,0.018612521,0.040609137,0
39341,0,0,0,0.142857143,0,0.142857143,0,0
35519,0.06116208,0.021406728,0.04587156,0.06116208,0.168195719,0.01529052,0.036697248,0
60415,0.019308943,0.039634146,0.013719512,0.026930894,0.18648374,0.012703252,0.022357724,0
25230832,0.010532475,0.031597425,0.01170275,0.020479813,0.16676419,0.005266238,0.000585138,1
119634,0.019023987,0.033912324,0.015715467,0.044665012,0.201819686,0.025641026,0.104218362,0
23048028,0.066620402,0.037473976,0.083969466,0.054129077,0.129770992,0.027064539,0.034004164,1
60711,0.040339703,0.044585987,0.036093418,0.031847134,0.176220807,0.01910828,0.074309979,0
24196033,0.018867925,0.071698113,0.018867925,0.013207547,0.218867925,0.020754717,0.035849057,1
57655,0.087719298,0.01754386,0.087719298,0.01754386,0.157894737,0,0.01754386,0
223052,0.166666667,0,0.166666667,0,0.166666667,0.166666667,0,0
116191,0.083333333,0.104166667,0.104166667,0,0.270833333,0,0.0625,0
25327341,0.017361111,0.019097222,0.024305556,0.03125,0.170138889,0.026041667,0.038194444,1
351186,0,0.230769231,0,0.076923077,0,0.153846154,0,0
202487,0.043126685,0.043126685,0.066037736,0.053908356,0.203504043,0.03638814,0.059299191,0
26003206,0.022566996,0.033850494,0.038551951,0.055007052,0.153267513,0.024447579,0.043253409,1
8211,0.022727273,0.041666667,0.03030303,0.03030303,0.140151515,0.011363636,0.037878788,0
66918,0.045731707,0.036585366,0.042682927,0.045731707,0.155487805,0.06402439,0.027439024,0
23606364,0.023898432,0.030619866,0.020164302,0.025392084,0.16579537,0.01120239,0.02987304,1
26388832,0.018292683,0.050522648,0.022648084,0.084494774,0.182055749,0.015679443,0.006968641,1
351967,0.046572935,0.023725835,0.028998243,0.059753954,0.182776801,0.026362039,0.108963093,0
212390,0.038848921,0.025899281,0.025899281,0.082014388,0.202877698,0.048920863,0.109352518,0
26295,0.033333333,0.016666667,0.066666667,0.066666667,0.116666667,0.016666667,0,0
32634,0.037433155,0.027807487,0.046524064,0.044919786,0.203743316,0.012834225,0.079679144,0
227898,0.041628122,0.024976873,0.026827012,0.056429232,0.181313599,0.028677151,0.115633673,0
109937,0.047244094,0.038385827,0.050524934,0.039370079,0.168635171,0.017060367,0.084645669,0
264039,0.033532934,0.031137725,0.02754491,0.034730539,0.191616766,0.016766467,0.117365269,0
212604,0.023255814,0.02862254,0.024150268,0.034883721,0.198568873,0.051878354,0.061717352,0
183723,0.041255605,0.023318386,0.024215247,0.060089686,0.180269058,0.030493274,0.111210762,0
56503,0.062431544,0.031215772,0.055859803,0.070098576,0.233844469,0.014786418,0.079956188,0
217054,0.062465451,0.034273079,0.056937535,0.044776119,0.194029851,0.02432283,0.043670536,0
29149,0.031779661,0.054025424,0.034957627,0.039194915,0.166313559,0.028601695,0.081567797,0
485325,0.034907598,0.023613963,0.041067762,0.04825462,0.189938398,0.016427105,0.08110883,0
266549,0.029045643,0.032157676,0.019709544,0.030082988,0.162863071,0.023858921,0.098547718,0
23266217,0.016594517,0.033189033,0.02958153,0.026695527,0.160894661,0.09018759,0.059163059,1
52837,0.030837004,0.029368576,0.051395007,0.039647577,0.185022026,0.010279001,0.079295154,0
284666,0.034321373,0.03900156,0.063962559,0.051482059,0.209048362,0.004680187,0.053042122,0
18834,0.032092426,0.03465982,0.060333761,0.046213094,0.17843389,0.006418485,0.055198973,0
31487,0.0606469,0.030098832,0.044025157,0.051662174,0.201257862,0.012578616,0.085354897,0
334008,0.038666667,0.03,0.06,0.038333333,0.169666667,0.017333333,0.117,0
159920,0.069444444,0.027777778,0.033333333,0.077777778,0.169444444,0.022222222,0.088888889,0
6848,0.050505051,0.090909091,0.080808081,0.02020202,0.141414141,0.04040404,0.04040404,0
24681325,0.036881811,0.032411288,0.087175189,0.047219894,0.174629785,0.01424979,0.003073484,1
181526,0.03870076,0.02902557,0.033863165,0.03593642,0.161022806,0.039391845,0.101589496,0
347286,0.12,0.024,0.096,0.048,0.208,0.016,0.032,0
34992,0.069134701,0.023639607,0.066012489,0.04058876,0.16235504,0.019179304,0.017395183,0
15361,0.013157895,0,0.013157895,0.065789474,0.105263158,0.039473684,0,0
185935,0.040302267,0.024349286,0.031905961,0.052057095,0.183879093,0.026868178,0.10495382,0
65609,0.166666667,0,0.166666667,0,0.166666667,0.166666667,0,0
25363,0.052,0.048,0.036,0.052,0.232,0.024,0.04,0
25001251,0.027522936,0.055045872,0.009174312,0.018348624,0.174311927,0.027522936,0,1
26446801,0.052873563,0.045977011,0.095402299,0.043678161,0.16091954,0.035632184,0.016091954,1
56390,0.022222222,0,0.022222222,0.022222222,0.155555556,0.044444444,0,0
21864,0.006024096,0.020080321,0.016064257,0.048192771,0.128514056,0.046184739,0.198795181,0
